iter	Passed	Remaining
0	147	147390
1	153	76482
2	158	52751
3	164	40920
4	169	33766
5	175	29131
6	181	25814
7	188	23339
8	194	21468
9	201	19962
10	208	18737
11	214	17666
12	221	16797
13	227	16041
14	234	15368
15	240	14785
16	246	14279
17	253	13837
18	260	13446
19	266	13078
20	272	12716
21	278	12380
22	284	12069
23	290	11823
24	297	11592
25	303	11369
26	309	11161
27	315	10962
28	321	10776
29	327	10594
30	333	10426
31	339	10265
32	345	10113
33	350	9966
34	357	9843
35	363	9727
36	369	9619
37	375	9505
38	381	9411
39	387	9309
40	394	9222
41	400	9144
42	407	9059
43	412	8969
44	418	8888
45	424	8803
46	430	8725
47	436	8649
48	441	8576
49	447	8506
50	454	8454
51	460	8391
52	466	8336
53	473	8287
54	479	8232
55	485	8177
56	491	8127
57	497	8072
58	502	8014
59	508	7962
60	513	7908
61	519	7859
62	525	7815
63	531	7772
64	537	7726
65	542	7682
66	549	7648
67	555	7613
68	562	7584
69	568	7559
70	575	7535
71	582	7507
72	588	7478
73	595	7448
74	601	7417
75	607	7385
76	613	7353
77	619	7321
78	625	7289
79	631	7258
80	637	7231
81	643	7201
82	649	7171
83	655	7150
84	662	7131
85	669	7117
86	676	7100
87	684	7089
88	691	7079
89	699	7068
90	705	7051
91	712	7035
92	720	7024
93	727	7010
94	734	6993
95	740	6977
96	748	6965
97	755	6954
98	762	6942
99	769	6929
100	777	6918
101	784	6906
102	792	6901
103	799	6890
104	807	6881
105	814	6872
106	822	6860
107	829	6851
108	836	6840
109	844	6828
110	850	6811
111	856	6792
112	862	6770
113	868	6749
114	874	6728
115	880	6706
116	885	6685
117	891	6664
118	897	6644
119	903	6625
120	909	6607
121	915	6588
122	921	6572
123	927	6553
124	933	6534
125	939	6515
126	945	6497
127	951	6481
128	957	6465
129	963	6449
130	969	6433
131	975	6416
132	982	6402
133	988	6388
134	994	6372
135	1000	6357
136	1006	6343
137	1012	6326
138	1018	6307
139	1023	6288
140	1029	6272
141	1035	6254
142	1041	6238
143	1046	6223
144	1053	6209
145	1060	6201
146	1067	6196
147	1074	6188
148	1082	6180
149	1089	6176
150	1097	6170
151	1104	6164
152	1112	6158
153	1119	6148
154	1126	6140
155	1133	6130
156	1139	6120
157	1146	6108
158	1152	6097
159	1159	6087
160	1166	6080
161	1173	6071
162	1180	6059
163	1186	6050
164	1193	6037
165	1199	6026
166	1206	6017
167	1213	6007
168	1220	5999
169	1227	5994
170	1234	5986
171	1241	5976
172	1248	5967
173	1255	5959
174	1261	5947
175	1268	5937
176	1274	5928
177	1281	5918
178	1288	5910
179	1295	5901
180	1302	5892
181	1308	5882
182	1315	5873
183	1322	5866
184	1330	5860
185	1337	5852
186	1344	5843
